id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
62,0,30,1,290920.0,0.9624343586524372,0.01697595261115159
63,16,11,0,112320.0,0.8751329803791187,0.01720305432154826
64,57,11,0,129540.0,0.979114683451441,0.018033425127528254
65,5,15,0,146100.0,0.8871938749352591,0.016912927582654676
66,4,17,0,164880.0,0.9015794173805052,0.016886525126688635
67,67,8,0,104940.0,0.9774542957023241,0.018615469962712593
68,132,5,0,103440.0,0.9987639859219105,0.02065809796007656
69,0,14,0,134400.0,0.8620797481404534,0.016822447775202868
70,73,24,0,261060.0,0.9996890024903611,0.017579757114538117
71,36,27,0,274320.0,0.9898891699313442,0.0171727003385167
72,128,4,0,92160.0,0.9930436733915969,0.02104966464738252
73,0,32,0,307200.0,0.9634125791484572,0.016822447775202868
74,39,16,0,169980.0,0.9716961034966964,0.01744074589593441
75,7,9,0,89340.0,0.8135179877034335,0.017030487478734476
76,31,13,0,137820.0,0.9378999783075875,0.01742832852769294
77,117,5,0,97140.0,0.9963144429761515,0.02041434891065011
78,2,13,0,125640.0,0.8564850056084005,0.016864458853417395
79,80,28,0,302400.0,0.9999906381339017,0.017537847924203674
80,39,22,1,230500.0,0.9908878838262972,0.017479150711392055
81,58,13,1,152080.0,0.9919746518611464,0.01819505061032771
82,38,25,1,258880.0,0.9935105323169813,0.017394581497207844
83,1,11,0,106020.0,0.8258884807672822,0.016847324969194357
84,133,6,0,113460.0,0.9997314807716701,0.020305960199230203
85,77,21,2,239780.0,1.0,0.01810863464763177
86,0,30,0,288000.0,0.9575611555109892,0.016822447775202864
87,0,15,0,144000.0,0.872827763519779,0.016822447775202864
88,102,11,0,148440.0,0.9998703897680342,0.01876192363008352
89,15,12,0,121500.0,0.8847679329234601,0.017151694006168706
90,35,28,0,283500.0,0.9901792042542125,0.017151694006168706
91,27,13,0,136140.0,0.9281395241037966,0.01735526192940543
92,0,33,0,316800.0,0.9660600280913572,0.016822447775202868
93,121,4,0,89220.0,0.9901069607614945,0.02093515986592983
94,23,7,0,76860.0,0.832758630099665,0.017634464983733243
95,53,16,0,175860.0,0.9888201077594402,0.017640420227641097
96,29,11,0,117780.0,0.9147483659452572,0.017487075651889693
97,97,17,0,203940.0,1.0,0.01813615382978758
98,102,15,2,192680.0,1.0,0.018840704860127736
99,0,20,0,192000.0,0.9131726528656697,0.016822447775202864
