id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,source_algorithm,w_cost,w_reliability,w_impact
106,80,28,0,302400.0,0.9999906381339017,0.017537847924203674,MOPSO,,,
107,39,22,1,230500.0,0.9908878838262972,0.017479150711392055,MOPSO,,,
108,58,13,1,152080.0,0.9919746518611464,0.01819505061032771,MOPSO,,,
109,38,25,1,258880.0,0.9935105323169813,0.017394581497207844,MOPSO,,,
110,1,11,0,106020.0,0.8258884807672822,0.016847324969194357,MOPSO,,,
111,133,6,0,113460.0,0.9997314807716701,0.020305960199230203,MOPSO,,,
112,77,21,2,239780.0,1.0,0.01810863464763177,MOPSO,,,
113,0,30,0,288000.0,0.9575611555109892,0.016822447775202864,MOPSO,,,
114,0,15,0,144000.0,0.872827763519779,0.016822447775202864,MOPSO,,,
115,102,11,0,148440.0,0.9998703897680342,0.01876192363008352,MOPSO,,,
116,15,12,0,121500.0,0.8847679329234601,0.017151694006168706,MOPSO,,,
117,35,28,0,283500.0,0.9901792042542125,0.017151694006168706,MOPSO,,,
118,27,13,0,136140.0,0.9281395241037966,0.01735526192940543,MOPSO,,,
119,0,33,0,316800.0,0.9660600280913572,0.016822447775202868,MOPSO,,,
120,121,4,0,89220.0,0.9901069607614945,0.02093515986592983,MOPSO,,,
121,23,7,0,76860.0,0.832758630099665,0.017634464983733243,MOPSO,,,
122,53,16,0,175860.0,0.9888201077594402,0.017640420227641097,MOPSO,,,
123,29,11,0,117780.0,0.9147483659452572,0.017487075651889693,MOPSO,,,
124,97,17,0,203940.0,1.0,0.01813615382978758,MOPSO,,,
125,0,20,0,192000.0,0.9131726528656697,0.016822447775202864,MOPSO,,,
126,5,8,0,78900.0,0.7874933549172779,0.01699046509042379,Weighted-Sum,1.0,0.0,0.0
127,2,33,0,317640.0,0.9686451767584542,0.016839049464904634,Weighted-Sum,0.0,0.0,1.0
128,79,6,0,90780.0,0.9777490460829465,0.019326146019717456,Weighted-Sum,0.52,0.33,0.15
129,92,6,0,96240.0,0.9902280974445765,0.019597828983187463,Weighted-Sum,0.28,0.48,0.24
130,91,8,0,115020.0,0.9968237973938011,0.019079828727257418,Weighted-Sum,0.12,0.67,0.21
131,32,7,0,80640.0,0.8650129047120017,0.01790981261742715,Weighted-Sum,0.4,0.12,0.48
132,90,7,0,105000.0,0.9939357455179192,0.019285075277137315,Weighted-Sum,0.19,0.52,0.29
133,85,6,0,93300.0,0.9846988812526618,0.019454873942504936,Weighted-Sum,0.33,0.38,0.29
134,101,6,0,100020.0,0.995127083051526,0.01977109276235652,Weighted-Sum,0.26,0.61,0.13
135,65,10,0,123300.0,0.9857291834814196,0.018286149051447615,Weighted-Sum,0.14,0.29,0.57
136,70,6,0,87000.0,0.962329804000427,0.019121381304685638,Weighted-Sum,0.36,0.23,0.41
137,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,Weighted-Sum,0.47,0.11,0.42
138,102,7,0,110040.0,0.9980269061107191,0.019505324365592738,Weighted-Sum,0.09,0.74,0.17
139,85,5,0,83700.0,0.9735081831709682,0.019789657057505714,Weighted-Sum,0.41,0.32,0.27
140,100,5,0,90000.0,0.9881175010644921,0.020102518320706315,Weighted-Sum,0.38,0.48,0.14
141,1,8,0,77220.0,0.772492644111267,0.016856614802926072,Weighted-Sum,0.22,0.13,0.65
142,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,Weighted-Sum,0.55,0.26,0.19
143,106,5,0,92520.0,0.9919805180904332,0.020217334189283186,Weighted-Sum,0.31,0.54,0.15
144,87,5,0,84540.0,0.9760181523098947,0.01983367519375419,Weighted-Sum,0.44,0.36,0.2
145,81,8,0,110820.0,0.9924028012549493,0.01889485047379316,Weighted-Sum,0.18,0.44,0.38
146,82,5,0,82440.0,0.969292156513759,0.019722197229618668,Weighted-Sum,0.61,0.29,0.1
147,59,7,0,91980.0,0.9501975456429907,0.018624403062970533,Weighted-Sum,0.25,0.18,0.57
148,86,8,0,112920.0,0.9951417447199373,0.018988769079069108,Weighted-Sum,0.13,0.53,0.34
149,88,6,0,94560.0,0.9874429641444061,0.019517061238784644,Weighted-Sum,0.29,0.4,0.31
150,62,6,0,83640.0,0.9432920454202417,0.018926482605420934,Weighted-Sum,0.36,0.19,0.45
151,113,5,0,95460.0,0.995031349737549,0.020344625373842528,Weighted-Sum,0.24,0.63,0.13
152,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,Weighted-Sum,0.3,0.15,0.55
153,90,5,0,85800.0,0.9794505393732691,0.019898317840844403,Weighted-Sum,0.48,0.39,0.13
154,75,8,0,108300.0,0.9876964436289634,0.01877818110838373,Weighted-Sum,0.2,0.35,0.45
155,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,Weighted-Sum,0.42,0.21,0.37
156,102,5,0,90840.0,0.9895326593010427,0.020141401548503798,Weighted-Sum,0.34,0.5,0.16
157,70,7,0,96600.0,0.9739436121108684,0.018875711792073833,Weighted-Sum,0.27,0.24,0.49
158,58,6,0,81960.0,0.9319087378220923,0.018824080929830157,Weighted-Sum,0.58,0.19,0.23
159,97,7,0,107940.0,0.9967706623656306,0.019415661375332256,Weighted-Sum,0.15,0.62,0.23
160,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,Weighted-Sum,0.46,0.12,0.42
161,87,7,0,103740.0,0.9922917345744398,0.019227211502063586,Weighted-Sum,0.21,0.47,0.32
162,92,5,0,86640.0,0.9814716941841289,0.019940516773220535,Weighted-Sum,0.39,0.41,0.2
163,61,11,0,131220.0,0.9847680203330211,0.018105030828004513,Weighted-Sum,0.12,0.25,0.63
164,84,6,0,92880.0,0.9836879131730475,0.01943382852577654,Weighted-Sum,0.31,0.37,0.32
165,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,Weighted-Sum,0.52,0.14,0.34
166,93,6,0,96660.0,0.9908587607448591,0.019617648552819764,Weighted-Sum,0.26,0.49,0.25
167,77,6,0,89940.0,0.9748670929909534,0.019281891223133393,Weighted-Sum,0.35,0.28,0.37
168,87,8,0,113340.0,0.9955695635020986,0.019007205496392992,Weighted-Sum,0.17,0.56,0.27
169,61,8,0,102420.0,0.9664327388757232,0.018487713220896634,Weighted-Sum,0.23,0.2,0.57
170,86,5,0,84120.0,0.9747631677404315,0.01981176000431993,Weighted-Sum,0.4,0.34,0.26
171,108,5,0,93360.0,0.9929621815519615,0.020254412206282237,Weighted-Sum,0.28,0.58,0.14
172,50,6,0,78600.0,0.906884188362946,0.018608504592309356,Weighted-Sum,0.37,0.16,0.47
173,78,8,0,109560.0,0.9902051638619581,0.018837070467569782,Weighted-Sum,0.19,0.39,0.42
174,81,5,0,82020.0,0.967730820835017,0.019699318597053428,Weighted-Sum,0.49,0.24,0.27
175,99,5,0,89580.0,0.9873579759297325,0.0200828409952412,Weighted-Sum,0.32,0.45,0.23
